id,href,img,post_date,edit_date,post,type,abandon_date,open_date,adoption_date,age,gender,color,breed,size,health,target,target_log,color_三花,color_棕,color_灰,color_白,color_米,color_虎斑,color_黃,color_黑,breed_俄羅斯藍,breed_博美,breed_古代牧羊,breed_吉娃娃,breed_哈士奇,breed_巴哥,breed_拉布拉多,breed_挪威納,breed_摺耳貓,breed_暹羅,breed_柯基,breed_柴犬,breed_梗犬,breed_比熊,breed_比特犬,breed_法鬥,breed_波斯貓,breed_牛頭梗,breed_狐狸犬,breed_異國短,breed_秋田,breed_米克斯,breed_約克夏,breed_美短,breed_臘腸,breed_英短,breed_蝴蝶犬,breed_西施,breed_西高地,breed_貴賓,breed_迷你杜賓,breed_迷你貝吉格里芬凡丁,breed_邊牧,breed_金吉拉,breed_阿拉斯加克利凱,breed_雪納瑞,breed_馬爾濟斯,breed_黃金獵犬
0,https://www.facebook.com/photo/?fbid=1777471138987135,31317914_1777471145653801_1482321126565609472_n.jpg,2018-04-25,2020-06-07,"(已認養)
已進動物之家，編號107052503
1.動物別：犬
2.性別：雄
3.品種：米克斯
4.體型：中
5.毛色：黑棕
6.年齡：1歲半
7.晶片：已施打
8.犬牌：期效內
9.目前居住環境：室內
10.無法續養原因：搬到大樓無法繼續養
11.過去疾病史或就醫狀況：皮屑、皮病(已治療完)

斑斑是個溫馴的男生
個性比較慢熟
對陌生人會較為害羞
不過熟悉後會主動親近撒嬌
也會展現出活潑熱情的那面
平常斑斑在家中若聽到門外有聲音會吠叫
但制止後就會停下
聰明的斑斑懂得到定點大小便
洗澡剪指甲也很能接受

如果想更加了解斑斑的狀況
請直接撥打電話(02)8791-3254與動物之家聯繫

<欲認養本區犬隻，請詳閱相簿說明>

#臺北市動物之家
#臺北市動物保護處
#台北市產業發產局
#認養代替購買 顯示較少",1,2018-05-25,2018-04-25,2020-06-07,1.5,1,"['黑', '棕']",米克斯,1,1,744,6.61338421837956,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,https://www.facebook.com/photo/?fbid=1804353512965564,33424568_1804353519632230_24762741319270400_n.jpg,2018-05-23,2018-05-29,"107.5.29已認養
-------
<107.5.29開放認養，請欲認養者，攜帶身分證(需年滿20歲且無棄養紀錄)，自備牽繩，10點整登記者，始得登記參加認養>
阿柴

編號：107041308
籠號：P22
性別：公
年紀：七歲以上
花色：黃白
進所日期：107.04.13
健康評估：初步評估正常
行為評估：緊張 顯示較少",1,2018-04-13,2018-05-29,2018-05-29,7.0,1,"['黃', '白']",柴犬,1,1,46,3.8501476017100584,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,https://www.facebook.com/photo/?fbid=1817049515029297,34395881_1817049518362630_5669966106190675968_n.jpg,2018-06-05,2018-06-10,"（已認養）
.
<107.6.８開放認養，請欲認養者，請於早上10點整，攜帶身分證(需年滿20歲且無棄養紀錄)，自備牽繩或胸背或運輸籠，完成登記者，始得登記參加認養，將採抽籤方式決定認養人。>
臘腸

編號：107051901
籠號：P5
性別：公
年紀：3-7歲
花色：米
進所日期：107.05.19
健康評估：右後肢皮病（5/19）
行為評估：可碰觸撫摸、友善親人，愛撒嬌會耍賴 顯示較少",1,2018-05-19,2018-06-08,2018-06-10,5.0,1,['米'],臘腸,0,0,22,3.1354942159291497,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,https://www.facebook.com/photo/?fbid=1817142271686688,34366869_1817142278353354_7915669119309971456_n.jpg,2018-06-05,2018-06-14,"(已認養)
<107.6.12開放認養，請欲認養者，請於早上10點整，攜帶身分證(需年滿20歲且無棄養紀錄)，自備牽繩或胸背或運輸籠，完成登記者，始得登記參加認養，將採抽籤方式決定認養人。>

咖啡

編號：107060406
籠號：P23
性別：公，梗犬
年紀：1-3月
花色：棕
進所日期：107.06.4
健康評估：初步判斷正常
行為評估：緊張，會發出警告聲 顯示較少",1,2018-06-04,2018-06-12,2018-06-14,0.167,1,['棕'],梗犬,0,1,10,2.3978952727983707,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,https://www.facebook.com/photo/?fbid=1840622922671956,36002553_1840622929338622_6243990800288448512_n.jpg,2018-06-23,2018-06-26,"107.6.26已完成認養

< 收容編號107061105之犬隻將於107.6.26(二)開放認養 >

欲認養者，請於早上10點整，攜帶身分證件(需年滿20歲且無棄養紀錄)，自備牽繩或胸背帶、運輸籠等。完成登記者，始得參與認養，若登記者為兩位以上(含)，將進行抽籤程序。

編號：107061105
籠號：P9
性別：女生
年紀：3-7歲
花色：棕黑
進所日期：107.06.11

健康評估：已施打八合一及狂犬病疫苗
行為評估：友善親人、可觸碰及撫摸

#臺北市動物之家
#臺北市動物保護處
#台北市產業發產局
#認養代替購買 顯示較少",1,2018-06-11,2018-06-26,2018-06-26,5.0,0,"['棕', '黑']",約克夏,0,1,15,2.772588722239781,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,https://www.facebook.com/photo/?fbid=1866029753464606,36819790_1866029756797939_4133660522069360640_n.jpg,2018-07-10,2018-07-10,"107.07.10已認養
-------
幼貓

編號：107070912
籠號：F20(下)
性別：男生
年紀：1-3月
花色：虎白
進所日期：107.07.09

健康評估：初步評估正常
行為評估：可碰觸撫摸
.
<欲認養本區動物，請詳閱相簿說明>
.
#臺北市動物之家
#臺北市動物保護處
#台北市產業發產局
#認養代替購買 顯示較少",0,2018-07-09,2018-07-10,2018-07-10,0.167,1,"['虎', '白']",米克斯,1,1,1,0.6931471805599453,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,https://www.facebook.com/photo/?fbid=1880877675313147,37303469_1880877685313146_519453264836558848_n.jpg,2018-07-22,2018-07-25,"(已認養)
< 收容編號107062801將於107.7.25(三)開放認養 >

欲認養者，請於早上10點整，攜帶身分證件(需年滿20歲且無棄養紀錄)，自備牽繩或胸背帶、運輸籠等。完成登記者，始得參與認養，若登記人數為兩位以上(含)，將進行抽籤程序。

編號：107062801
籠號：S外
性別：男生
年紀：1-3歲
花色：棕
進所日期：107.06.28

健康評估：已絕育
行為評估：友善、可觸碰及撫摸

#臺北市動物之家
#臺北市動物保護處
#台北市產業發產局
#認養代替購買 顯示較少",1,2018-06-28,2018-07-25,2018-07-25,2.0,1,['棕'],博美,0,1,27,3.332204510175204,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,https://www.facebook.com/photo/?fbid=1902742053126709,38139436_1902742059793375_3785055932371697664_n.jpg,2018-08-02,2018-08-04,"(已認養)
<幼犬>
編號：107080104
籠號：N9
性別：男生
年紀：1-3月
花色：黑棕
.
健康評估：初步評估正常
行為評估：友善親近人、可碰觸及撫摸
.
<欲認養本區動物，請詳閱相簿說明>
認養注意事項：
1.有意認養者，請記住收容編號
2.認養貓咪需自備寵物提籠（硬式側開為佳）；認養狗狗需自備牽繩或提籠。
3.開放時間為：
週二至週五上午10:00~12:30 下午1:30~4:00
週六、日10:00~16:00
4.地址：內湖區潭美街852號
5.電話：02-87913254
.
#臺北市動物之家
#臺北市動物保護處
#台北市產業發產局
#認養代替購買 顯示較少",1,2018-08-01,2018-08-02,2018-08-04,0.167,1,"['黑', '棕']",米克斯,1,1,3,1.3862943611198906,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,https://www.facebook.com/photo/?fbid=1917679348299646,38821376_1917679354966312_2739341729210564608_n.jpg,2018-08-10,2018-08-11,"〈已認養〉
107.8.11
-------
編號：107062504
籠號：後貓舍F30
性別：女生
年齡：1-3歲
花色：虎斑白

我是Kitty
我長得很漂亮也很有特色
不過因為我比較緊張
所以遲遲遇不到有緣人
如果你們對我有興趣
把我的編號記下來
來動物之家看看我好嗎

認養注意事項：
1.有意認養者，請記住編號跟籠號
2.未滿三個月的幼犬、貓需填寫不適認領、養切結書
3.認養貓需自備運輸籠(硬殼側開式)；認養犬需攜帶寵物專用牽繩或胸背帶、運輸籠等
4.開放認養時間週二至週五上午10:00~12:30、下午1:30~4:00，週六、日10:00~16:00
5.臺北市動物之家地址：內湖區潭美街852號
電話：(02)8791-3254

#臺北市動物之家
#臺北市動物保護處
#台北市產業發產局
#認養代替購買 顯示較少",0,2018-06-25,2018-08-11,2018-08-11,2.0,0,"['虎斑', '白']",米克斯,1,1,47,3.871201010907891,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,https://www.facebook.com/photo/?fbid=1939809919419922,39997254_1939809922753255_6752828130034974720_n.jpg,2018-08-24,2018-08-29,"〈已結案〉
107.08.28已完成認養手續
-------
< 收容編號107072505將於107.8.28（二）開放認養 >

欲認養者，請於早上10點整，攜帶身分證件(需年滿20歲且無棄養紀錄)，自備牽繩
或胸背帶、運輸籠等至櫃檯登記。完成登記者，始得參與認養，若登記人數為兩位
以上(含)，將進行抽籤程序。

編號：107072505
籠號：P3
性別：男生
年紀：1-3歲
花色：黃
進所日期：107.07.25

健康評估：已絕育
行為評估：友善親人、可觸碰及撫摸

#臺北市動物之家
#臺北市動物保護處
#台北市產業發產局
#認養代替購買 顯示較少",1,2018-07-25,2018-08-28,2018-08-28,2.0,1,['黃'],法鬥,1,1,34,3.5553480614894135,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
